This file was created by CMPT_IND_RETS using the 202402 CRSP database.
It contains value- and equal-weighted returns for  5 industry portfolios.

The portfolios are constructed at the end of June.

The annual returns are from January to December.

Missing data are indicated by -99.99 or -999.


  Average Value Weighted Returns -- Monthly
,Cnsmr,Manuf,HiTec,Hlth ,Other
195402,   0.46,   1.69,   2.09,   1.34,   1.71
195403,   1.21,   3.88,   3.68,   0.15,   2.79
195404,  -0.65,   2.69,   3.33,   2.18,   2.22
195405,   4.05,   4.25,   2.67,   2.33,   5.56
195406,   1.30,   1.01,   3.38,  -0.31,   1.27
195407,   7.60,   6.75,   7.92,   7.08,   7.62
195408,  -0.86,  -1.13,  -2.62,  -1.74,   0.18
195409,   3.83,   4.53,   5.88,   5.43,   4.24
195410,  -1.22,  -1.01,   0.02,   0.28,   0.80
195411,   6.48,   9.74,  11.81,  12.04,  10.67
195412,   7.41,   8.44,   8.89,   8.00,  12.90
195501,   1.73,   1.10,   2.10,  -2.24,   1.94
195502,   3.04,   4.85,   5.96,   3.80,   4.36
195503,  -0.62,   0.02,   0.60,   4.59,   0.87
195504,   2.64,   1.76,   3.00,   4.12,   3.26
195505,   0.29,   0.48,   0.99,   1.05,   2.10
195506,   2.52,   4.83,   2.48,   1.47,   2.15
195507,   2.17,   0.68,  -1.67,   1.02,  -0.99
195508,  -0.66,   1.51,  -0.81,  -0.25,   0.45
195509,  -0.01,  -0.77,  -2.87,  -1.15,  -1.60
195510,  -1.36,  -1.55,  -3.35,   0.94,  -2.52
195511,   2.75,   6.79,   6.05,   6.97,   6.48
195512,   1.58,   2.67,   3.27,   7.30,   1.30
195601,  -1.18,  -2.16,  -2.67,  -4.49,  -2.80
195602,   1.83,   4.08,   3.88,   4.05,   3.67
195603,   2.44,   6.66,   6.96,   7.09,   4.59
195604,  -0.48,   0.67,   0.46,   1.28,   1.25
195605,  -3.61,  -3.83,  -5.59,  -3.51,  -4.73
195606,   1.15,   2.94,   2.64,   2.26,   1.31
195607,   1.83,   5.63,   3.78,   4.34,   2.69
195608,  -0.74,  -1.97,  -1.86,  -3.27,  -3.19
195609,  -2.81,  -4.13,  -3.97,  -3.02,  -3.21
195610,   1.17,   0.85,  -0.50,   0.66,   0.02
195611,  -0.02,   1.48,  -0.55,  -0.92,  -0.59
195612,  -0.02,   3.31,   4.01,   6.22,   2.47
195701,   2.36,  -1.09,   0.50,  -1.17,   0.98
195702,  -1.64,  -2.37,  -2.54,   0.14,  -3.37
195703,   1.73,   2.04,   3.94,   6.87,   2.55
195704,   2.12,   2.43,   4.73,   4.60,   2.92
195705,   1.34,   2.44,   3.86,   4.50,   1.85
195706,  -0.03,  -1.67,   1.01,   4.11,  -0.46
195707,   0.60,   0.36,   0.10,   2.11,   1.23
195708,  -3.18,  -5.49,  -6.96,  -2.37,  -5.71
195709,  -3.21,  -6.21,  -5.86,  -1.54,  -6.68
195710,  -5.75,  -6.06,  -8.43,  -1.60,  -8.72
195711,   1.40,   2.77,   5.13,   7.41,  -0.62
195712,  -3.51,  -5.35,  -6.61,  -0.60,  -5.50
195801,  10.70,  10.11,  10.83,   2.36,  13.31
195802,   0.02,  -1.85,  -2.35,   4.28,  -1.15
195803,   3.58,   3.64,   4.93,  10.34,   2.05
195804,   3.93,   2.25,   2.08,   8.46,   3.99
195805,   3.66,   4.01,   5.54,   2.43,   3.46
195806,   3.02,   2.80,   4.08,   2.72,   4.57
195807,   3.92,   6.49,   3.96,   4.17,   5.59
195808,   5.04,   1.85,   4.84,   3.29,   2.28
195809,   5.85,   4.43,   5.18,  11.10,   6.06
195810,   2.85,   2.96,   6.22,   1.31,   3.79
195811,   4.54,   3.06,  10.33,   8.59,   4.43
195812,   3.57,   4.20,   5.07,   4.95,   2.79
195901,   5.26,   4.10,   2.66,  -0.09,   4.08
195902,   3.66,   1.85,   8.84,   4.86,   1.45
195903,   1.43,   0.95,   3.08,   4.51,   0.04
195904,   2.29,   2.00,   9.39,  11.06,   1.21
195905,   0.63,   0.99,   0.45,  -2.46,   0.91
195906,   0.71,   0.32,   1.12,   6.27,  -0.27
195907,   3.98,   3.35,   2.14,   3.79,   0.77
195908,  -0.20,  -1.61,  -3.97,   0.02,  -2.03
195909,  -2.98,  -5.24,  -5.88,  -6.10,  -4.18
195910,   1.97,   1.60,   7.00,   5.48,   1.13
195911,   0.91,   1.86,   5.07,   4.80,  -0.47
195912,   2.60,   1.96,   3.99,  -0.91,   1.94
196001,  -3.06,  -4.15,  -7.73,  -4.71,  -2.53
196002,   1.05,   0.29,   5.46,   1.20,  -0.10
196003,  -3.01,  -2.12,  -2.33,   0.15,  -2.67
196004,  -0.89,  -2.54,  -2.32,   1.17,  -2.53
196005,   1.55,   1.56,  11.17,  11.25,   0.03
196006,   3.31,   1.74,   1.41,   3.33,   1.89
196007,  -1.26,  -1.62,  -5.74,  -4.15,  -1.76
196008,   3.85,   3.48,   5.66,   1.92,   4.07
196009,  -4.94,  -5.97, -10.16,  -8.55,  -5.84
196010,  -1.38,  -2.14,  -6.44,  -4.32,  -2.12
196011,   4.95,   4.17,   6.32,   4.21,   5.28
196012,   2.86,   4.63,   3.62,   6.04,   2.64
196101,   7.93,   8.45,   4.76,   8.13,   9.70
196102,   6.57,   5.81,   7.65,   6.55,   5.51
196103,   6.42,   3.99,   6.31,   6.50,   4.61
196104,   0.65,   0.61,   2.25,  -2.72,   1.20
196105,   4.05,   4.54,   3.24,   1.57,   5.09
196106,  -3.18,  -4.30,  -5.71,  -3.27,  -4.57
196107,   0.95,   1.56,   0.85,   1.81,   0.35
196108,   2.90,   1.61,  -0.41,   4.30,   3.34
196109,  -1.55,  -3.11,  -5.96,  -2.45,  -3.19
196110,   3.35,   1.79,  -0.24,   4.03,   2.20
196111,   6.41,   3.65,   6.15,   2.81,   4.79
196112,  -0.66,   0.15,  -0.15,  -2.59,  -1.64
196201,  -1.58,  -0.44,  -2.63,  -3.71,   1.33
196202,   1.02,   1.95,   0.26,   2.00,   1.60
196203,  -0.45,  -0.33,  -1.52,   0.10,  -1.42
196204,  -7.11,  -6.11,  -9.34, -10.11,  -6.60
196205,  -9.51,  -9.39, -12.92, -12.37,  -9.59
196206,  -8.33,  -7.88, -11.12, -12.15,  -8.63
196207,   6.23,   5.81,   9.46,   5.77,   7.25
196208,   2.74,   2.47,   4.60,  -3.78,   4.53
196209,  -6.48,  -5.21,  -9.53,  -5.56,  -6.51
196210,  -3.17,  -1.55,  -4.04,   0.73,  -2.06
196211,  11.73,  13.13,  16.85,  19.63,  17.22
196212,  -0.69,  -0.88,  -2.66,  -0.25,  -0.51
196301,   8.21,   7.74,   7.78,   7.00,   8.18
196302,  -1.77,  -1.08,  -3.98,  -2.11,  -0.33
196303,   1.55,   2.63,  -0.26,   1.27,   2.74
196304,   3.82,   3.53,   3.87,   7.47,   4.55
196305,   2.47,   3.18,   3.72,  -0.16,   5.46
196306,  -1.57,  -1.58,  -1.82,  -1.79,  -1.57
196307,  -0.35,  -0.44,  -2.37,   0.60,  -1.09
196308,   3.71,   4.55,   3.58,   7.28,   4.51
196309,  -1.29,  -1.07,  -0.10,  -1.33,  -1.45
196310,   1.86,   0.39,   4.49,   3.80,   0.98
196311,  -2.45,  -0.73,  -2.55,  -1.55,  -1.98
196312,  -1.30,   0.15,  -3.20,  -0.45,   0.63
196401,   3.27,   3.71,   2.32,   3.66,   3.00
196402,   2.08,   2.33,   1.24,   0.97,   5.20
196403,   1.72,   3.54,   2.29,  -1.40,   3.46
196404,   0.97,   0.09,  -1.64,  -1.47,  -0.20
196405,   0.21,   1.30,  -0.93,   0.00,   1.01
196406,   1.97,   1.14,   0.56,  -0.27,  -0.41
196407,   2.89,   3.47,   1.56,   4.83,   2.43
196408,  -0.34,  -0.15,  -1.71,  -2.43,  -1.38
196409,   3.60,   3.16,   4.40,   5.24,   5.40
196410,   2.07,   1.78,   1.13,   2.29,   2.55
196411,   0.68,  -0.15,  -1.52,   2.05,  -0.74
196412,  -1.66,  -1.40,  -0.60,   3.48,  -1.69
196501,   7.96,   6.94,   9.70,   7.71,   6.08
196502,   3.58,   3.03,   3.43,   2.05,   3.96
196503,   1.78,   1.30,   1.80,   0.68,   1.10
196504,   4.25,   4.35,   5.63,   2.98,   2.80
196505,   0.55,  -1.04,   0.19,  -1.48,  -1.58
196506,  -8.42,  -7.92, -10.40,  -6.35,  -8.07
196507,   2.02,   3.02,   4.86,   4.36,   3.09
196508,   3.74,   3.43,   8.68,   6.66,   4.41
196509,   2.20,   2.86,   5.49,   3.21,   1.83
196510,   5.35,   5.90,   8.43,   4.25,   5.83
196511,   3.34,   4.03,  13.08,   4.46,   5.15
196512,   3.59,   4.06,   3.39,   4.91,   6.44
196601,   6.48,   6.01,   6.01,   4.41,   7.58
196602,   3.00,   2.32,   6.32,  -0.27,   3.47
196603,  -1.42,  -0.84,  -1.77,  -1.56,   0.55
196604,   3.34,   4.60,  10.36,   4.70,   4.34
196605,  -8.46,  -7.96, -13.01,  -7.02,  -9.30
196606,  -0.92,  -0.82,   2.03,   1.95,  -0.90
196607,  -1.81,  -1.31,  -2.17,  -1.44,  -1.78
196608, -10.06,  -9.57,  -8.86,  -9.49, -11.89
196609,  -2.01,  -1.20,  -3.69,  -1.84,  -2.27
196610,  -2.42,   0.87,  -7.03,   2.16,  -2.58
196611,   1.31,   2.94,  12.16,   7.52,   7.32
196612,  -0.17,   2.54,   4.78,   1.94,   0.68
196701,  17.28,  15.59,  22.73,  10.14,  20.11
196702,   5.55,   3.27,   5.33,   2.86,   4.67
196703,   4.31,   6.31,   7.71,   8.58,   6.64
196704,   5.06,   3.80,   6.28,   5.28,   2.42
196705,  -0.54,  -0.82,  -2.65,  -4.43,   0.55
196706,   8.20,   7.61,  13.50,   6.25,   7.86
196707,   9.06,   7.61,   4.94,   5.17,  11.42
196708,   2.08,   0.17,  -2.43,   2.24,   1.26
196709,   8.37,   4.80,   8.99,   6.41,   4.93
196710,  -0.77,  -3.20,  -2.07,  -5.90,  -1.33
196711,  -0.17,   0.23,  -0.04,   1.50,   0.13
196712,   7.81,   7.97,   9.74,   1.75,   9.20
196801,   4.12,   1.01,  -3.47,  -5.26,   6.20
196802,  -4.78,  -5.61,  -8.74,  -5.40,  -4.74
196803,   0.09,  -1.63,  -1.12,  -0.16,  -1.26
196804,  16.05,  12.41,  16.82,  11.00,  14.61
196805,  11.51,   7.32,   9.16,   5.75,  11.26
196806,   1.57,   2.11,  -1.79,   1.01,   2.38
196807,  -2.89,  -2.49,  -6.80,  -3.75,  -0.89
196808,   4.39,   3.11,   2.39,   2.11,   4.38
196809,   7.98,   5.45,   6.48,   1.59,   9.76
196810,   2.18,   0.54,  -2.42,  -0.47,   0.73
196811,   6.43,   7.22,   7.87,   8.47,   8.00
196812,   0.49,   0.69,  -0.64,  -0.64,   0.60
196901,  -0.92,   0.00,  -2.37,  -0.49,   0.92
196902,  -8.56,  -8.20, -10.22,  -6.11,  -9.05
196903,   1.71,   2.29,   0.87,   3.64,   2.00
196904,   0.35,  -0.56,   1.27,   3.92,   2.03
196905,   0.59,   0.76,  -0.35,   2.46,  -0.56
196906, -11.31, -10.59, -12.37,  -8.09, -13.02
196907, -10.15,  -8.47, -11.88,  -4.04, -10.39
196908,   5.31,   3.84,   6.29,  10.44,   7.04
196909,  -2.32,  -3.31,  -2.31,   1.84,  -1.33
196910,   9.69,   7.88,  16.54,  11.13,   7.93
196911,  -5.76,  -5.41,  -4.81,  -1.41,  -7.00
196912,  -7.60,  -5.47,  -7.25,   0.61,  -9.01
197001,  -3.71,  -3.18,  -5.81,  -4.11,  -5.09
197002,   2.37,   4.43,   3.78,   4.13,   7.10
197003,  -2.07,  -1.21,  -6.28,  -4.91,  -2.60
197004, -15.77, -14.31, -20.74, -17.07, -18.25
197005,  -9.76,  -7.95, -10.30, -10.36,  -9.41
197006,  -7.17,  -7.05, -10.46,  -5.75,  -8.35
197007,   6.60,   6.56,   0.85,   4.16,   6.08
197008,   5.75,   5.99,   7.60,   4.87,   7.16
197009,  13.49,  10.19,  20.51,  12.19,  13.51
197010,  -4.85,  -5.13, -12.32,  -4.42,  -6.55
197011,   0.08,   1.27,  -2.91,  -0.25,   0.24
197012,  11.08,   7.66,   4.98,   9.09,   6.91
197101,  14.29,  11.51,  17.95,   8.44,  16.16
197102,   7.37,   3.18,   4.70,   6.85,   4.03
197103,   6.11,   3.92,   9.44,   4.64,   6.15
197104,   1.92,   2.49,   3.27,   4.08,   3.71
197105,  -4.88,  -4.94,  -5.84,  -0.49,  -5.80
197106,  -1.89,  -1.57,  -3.21,  -0.50,  -1.70
197107,  -5.91,  -4.48,  -8.91,  -6.10,  -5.88
197108,   3.97,   3.79,   4.99,   4.70,   5.16
197109,   0.73,  -1.51,  -2.83,   1.45,   0.00
197110,  -5.64,  -5.40,  -7.64,  -4.85,  -6.33
197111,  -3.57,  -3.14,  -2.54,  -2.89,  -4.03
197112,  12.57,  10.83,  15.61,  12.11,  11.11
197201,  10.15,   8.82,  17.51,   6.67,  11.66
197202,   4.82,   3.72,   5.99,   7.85,   2.58
197203,  -0.33,  -0.18,   0.15,   0.44,   0.25
197204,  -0.09,   0.47,   0.27,  -0.61,  -0.11
197205,  -2.49,  -1.61,  -1.42,   0.27,  -2.42
197206,  -4.40,  -2.63,  -3.34,  -1.18,  -3.95
197207,  -4.65,  -1.54,  -2.61,  -1.96,  -4.19
197208,  -0.80,   3.00,   0.69,   3.80,   0.78
197209,  -3.84,  -2.34,  -3.89,  -3.67,  -3.42
197210,  -1.74,  -0.58,  -2.05,  -4.44,  -2.05
197211,   6.05,   5.84,   2.96,  -0.40,   4.31
197212,  -2.71,  -1.26,  -2.68,  -0.09,  -3.03
197301,  -5.76,  -2.11,  -3.86,  -8.10,  -4.66
197302,  -8.48,  -6.29,  -9.19,  -7.34,  -7.12
197303,  -4.36,  -1.53,  -3.49,  -3.02,  -2.12
197304,  -8.72,  -4.85,  -8.41, -10.00,  -8.57
197305,  -9.42,  -6.70,  -9.87,  -8.81,  -8.90
197306,  -4.88,  -2.44,  -2.65,  -4.27,  -2.91
197307,  12.08,   9.47,  16.06,  14.64,   9.87
197308,  -5.46,  -3.24,  -6.06,  -6.19,  -4.36
197309,   6.33,   8.91,  11.23,   8.52,   5.94
197310,  -1.85,   1.95,   1.20,   0.75,  -1.36
197311, -20.24, -15.80, -21.60, -15.78, -16.32
197312,  -5.98,  -1.78,  -4.71,  -5.26,  -4.13
197401,  14.85,  12.29,  14.84,   9.53,  12.75
197402,   1.31,   0.79,  -1.21,  -0.81,   0.77
197403,   2.04,   1.09,   0.55,  -0.62,   0.46
197404,  -4.98,  -4.65,  -5.87,  -5.51,  -5.87
197405,  -6.23,  -6.49,  -7.01,  -5.97,  -7.87
197406,  -3.04,  -1.51,  -4.26,  -3.09,  -3.83
197407,  -5.42,  -3.47,  -7.58,  -7.36,  -5.77
197408,  -7.85,  -7.14,  -8.54,  -7.90,  -8.95
197409,  -8.50,  -7.10, -11.05, -11.78,  -7.09
197410,   7.00,  11.63,   6.27,  19.96,   8.48
197411,  -6.18,  -3.50,  -5.70,  -1.61,  -5.11
197412,  -8.43,  -6.17, -10.16,  -8.27,  -7.68
197501,  31.27,  25.20,  34.84,  27.65,  28.95
197502,   5.00,   4.79,   8.23,  11.84,   5.91
197503,  11.75,   5.69,  11.67,   5.19,   7.24
197504,   3.39,   4.69,   6.70,   3.80,   1.71
197505,   6.87,   7.33,  10.89,   8.65,   7.05
197506,   8.07,   8.13,   8.71,   5.43,   5.99
197507,   0.80,  -1.58,  -2.40,  -2.81,  -0.75
197508,  -4.65,  -3.81,  -6.18,  -7.64,  -5.04
197509,  -2.56,  -3.26,  -4.46,  -5.04,  -4.44
197510,   3.97,   1.24,   0.42,   1.81,   0.69
197511,   4.04,   1.59,   1.63,   2.82,   0.77
197512,  -0.68,  -0.73,  -2.13,  -0.80,   0.40
197601,  20.32,  18.32,  24.69,  17.18,  16.61
197602,  14.21,   8.71,  14.17,   7.54,  11.04
197603,   1.68,   1.67,   3.13,   1.87,   2.73
197604,  -1.26,   0.05,  -1.16,  -3.41,  -0.19
197605,  -4.01,   0.24,  -3.36,  -1.83,  -1.80
197606,   1.17,   3.79,   5.96,   2.64,   2.78
197607,  -0.64,   0.80,  -1.23,   0.80,   0.79
197608,  -2.28,  -1.10,  -2.61,  -1.52,  -1.24
197609,   0.40,   2.71,   1.36,   2.06,   1.51
197610,  -2.78,  -1.87,  -3.86,  -1.10,  -1.44
197611,   2.68,   2.44,   3.03,   1.06,   2.68
197612,   9.47,   9.18,  12.48,   9.24,  10.31
197701,   2.15,   4.50,   5.38,   3.71,   3.58
197702,  -0.26,   0.01,   0.55,  -0.50,   0.90
197703,  -0.02,   0.83,   1.90,   0.65,   1.66
197704,   0.76,   2.38,   1.39,  -1.12,   2.35
197705,  -0.01,   0.00,   0.33,   0.04,   0.88
197706,   4.51,   5.65,   6.15,   7.14,   5.40
197707,   1.23,  -0.15,   1.17,   0.86,   2.22
197708,  -0.17,  -1.30,   0.43,  -0.43,   0.08
197709,   1.82,   0.46,   0.84,   4.78,   1.71
197710,  -1.94,  -3.02,  -2.48,  -0.35,  -2.15
197711,   6.79,   6.93,   9.13,   8.17,   7.07
197712,   1.53,   1.70,   3.38,   3.92,   2.41
197801,  -1.09,  -2.25,  -2.14,  -1.42,  -0.28
197802,   3.18,   2.08,   2.51,   1.86,   2.56
197803,   6.98,   5.31,   9.50,   8.91,   6.88
197804,   7.78,   7.30,  11.51,  10.94,   7.78
197805,   7.38,   5.82,  11.62,   8.29,   6.21
197806,   0.41,   0.33,   0.49,   0.73,   1.87
197807,   3.19,   5.47,   7.08,   8.94,   5.59
197808,   9.89,   6.90,  16.57,   9.74,   9.08
197809,   0.92,  -0.14,   0.90,  -0.25,   0.58
197810, -19.02, -17.24, -23.72, -22.79, -16.44
197811,   4.08,   4.88,   8.05,   7.87,   2.69
197812,   0.01,   1.13,   4.16,   3.32,   1.72
197901,   9.37,   9.66,  11.76,   8.97,   8.41
197902,  -2.73,  -1.47,  -3.38,  -4.45,  -1.14
197903,   6.73,   9.35,  11.12,   7.30,   7.59
197904,   2.29,   2.61,   2.78,   1.10,   3.17
197905,  -1.30,  -0.78,  -1.29,  -1.31,  -0.74
197906,   2.57,   7.28,   5.29,   4.46,   6.08
197907,   1.42,   2.63,   1.83,   2.89,   2.72
197908,   7.19,   8.09,   9.43,   7.62,   6.77
197909,  -0.82,   0.18,  -0.29,   1.32,  -0.25
197910,  -9.57,  -9.26,  -9.30,  -9.27, -10.17
197911,   3.82,   7.70,  10.96,   9.77,   6.03
197912,   4.54,   7.63,   9.84,   7.15,   6.27
198001,   7.44,  11.38,  13.68,   8.25,   9.82
198002,  -1.38,  -0.99,  -0.76,  -3.28,  -0.59
198003, -15.19, -16.35, -18.78, -13.64, -16.01
198004,   3.55,   5.50,   5.61,   6.22,   5.86
198005,   7.90,   5.97,   6.96,  10.93,   7.65
198006,   3.70,   4.29,   3.21,   1.94,   5.10
198007,   8.33,   8.05,  16.58,  13.17,   8.47
198008,   6.20,   5.65,  12.79,   8.70,   5.57
198009,   3.80,   5.45,   6.28,   6.60,   4.70
198010,   1.89,   4.40,   7.20,   6.41,   4.77
198011,   2.39,   9.47,  10.44,   7.72,   6.23
198012,  -3.03,  -3.87,  -3.78,  -2.17,  -2.59
198101,   3.11,  -0.97,  -2.56,   2.90,   1.13
198102,   1.59,   0.16,  -2.08,  -1.81,   1.31
198103,   7.84,   6.31,   8.21,  11.85,   7.31
198104,   4.84,  -0.03,   5.97,   7.14,   2.98
198105,   2.73,   2.23,   7.53,   3.72,   1.71
198106,   1.64,  -1.25,  -5.20,  -2.14,   0.14
198107,  -2.24,  -0.11,  -5.34,  -4.24,  -2.08
198108,  -6.55,  -7.09, -12.00, -10.93,  -6.49
198109,  -6.48, -10.54,  -9.69,  -7.75,  -8.62
198110,   6.07,   6.37,  10.46,   9.31,   7.05
198111,   1.24,   1.77,   2.12,   1.37,   2.43
198112,  -0.98,  -2.70,  -1.70,  -1.63,  -2.20
198201,  -0.43,  -2.78,  -1.06,  -0.78,  -2.19
198202,  -2.30,  -6.45,  -5.70,  -3.12,  -4.15
198203,   1.05,  -2.41,  -1.18,  -0.11,  -1.27
198204,   6.18,   3.10,   8.21,   9.84,   5.43
198205,  -1.59,  -2.46,  -3.46,  -3.63,  -2.44
198206,  -0.63,  -4.78,  -4.81,  -3.08,  -3.27
198207,   0.79,  -3.97,  -1.36,   0.54,  -1.44
198208,   4.74,   6.78,   6.00,   6.15,   6.98
198209,   5.05,  -0.31,   5.00,   5.52,   4.21
198210,  12.95,  10.02,  17.91,  15.47,  13.53
198211,  10.80,   4.21,  14.31,  14.90,  10.46
198212,   2.00,   1.62,   3.95,   4.07,   1.85
198301,   8.49,  10.83,  16.15,  12.30,  10.50
198302,   8.15,   2.45,   8.58,   8.43,   4.94
198303,   7.59,   3.21,   2.63,   6.09,   6.46
198304,   8.86,   6.63,   6.63,   8.62,   9.22
198305,   7.84,   9.98,  11.98,   8.12,   8.60
198306,   6.73,   3.79,   5.97,   5.73,   4.03
198307,  -1.30,  -0.11,  -6.05,  -7.12,  -1.31
198308,  -4.09,  -2.00,  -5.39,  -4.42,  -2.31
198309,   1.52,   0.32,  -1.46,  -2.45,   0.51
198310,  -4.56,  -4.52, -10.74, -10.89,  -4.62
198311,   3.80,   1.92,   4.99,   0.69,   2.68
198312,  -2.06,  -1.54,  -3.99,  -5.93,  -1.46
198401,  -1.01,   2.29,  -2.02,  -1.87,   0.70
198402,  -5.42,  -4.64,  -9.34,  -5.75,  -4.62
198403,   1.11,   1.68,  -0.55,   0.32,   0.36
198404,  -1.83,  -1.00,  -2.73,  -1.06,  -2.69
198405,  -3.96,  -4.13,  -6.35,  -7.35,  -5.37
198406,   2.94,   0.38,   2.50,   2.76,   0.92
198407,  -3.54,  -4.88,  -7.34,  -5.39,  -3.75
198408,   8.69,   8.63,  11.29,  13.50,   7.16
198409,   0.13,   0.26,  -3.10,  -2.71,   1.46
198410,  -2.16,  -3.08,  -4.12,  -2.06,  -0.64
198411,  -2.85,  -2.78,  -5.40,  -5.13,  -2.43
198412,   0.64,   0.30,   0.53,   0.07,   1.14
198501,  11.28,   9.30,  17.88,  17.36,  12.03
198502,   4.32,   3.99,   5.89,   8.00,   4.44
198503,  -1.04,  -0.80,  -3.80,  -2.09,   0.63
198504,  -1.49,  -1.36,  -4.15,   0.64,   0.25
198505,   3.04,   1.63,   1.11,   2.78,   3.14
198506,   1.15,  -0.92,  -2.04,   1.79,   2.22
198507,   0.99,   1.70,   2.89,   0.85,   2.34
198508,  -0.51,  -0.84,  -1.76,  -1.65,   1.03
198509,  -4.39,  -5.30,  -8.21,  -7.09,  -5.34
198510,   1.96,   1.41,   0.75,   2.30,   2.88
198511,   5.86,   4.67,   5.30,   5.69,   5.84
198512,   3.83,   1.03,   3.55,   4.23,   3.71
198601,   3.96,   2.10,   3.97,   5.30,   6.35
198602,   7.54,   3.71,   5.57,   3.65,   8.37
198603,   6.24,   4.01,   3.27,   9.56,   4.74
198604,   2.11,  -0.15,   2.78,   0.87,   1.59
198605,   4.99,   3.52,   3.00,   4.92,   3.49
198606,   2.63,   0.78,  -2.33,   2.34,   1.45
198607,  -8.15,  -7.02,  -9.70,  -8.61,  -6.36
198608,   0.42,   3.73,   0.92,   0.20,   2.13
198609,  -6.77,  -4.69,  -7.69,  -9.20,  -6.11
198610,   3.56,   1.87,   3.10,   3.58,   1.83
198611,   0.29,  -0.94,   0.15,  -1.44,  -1.80
198612,  -4.22,  -2.91,  -4.21,  -5.21,  -3.42
198701,   9.08,  13.75,  14.21,  12.13,  10.74
198702,   7.18,   6.36,  10.21,  14.65,   5.82
198703,   2.62,   5.76,   1.32,   3.14,   2.68
198704,  -2.84,  -1.17,  -0.74,  -2.49,  -2.55
198705,  -0.66,   2.41,   0.60,  -1.20,  -0.96
198706,   3.55,   3.45,   0.69,   2.06,   2.32
198707,   3.47,   6.57,   1.90,  -0.29,   2.45
198708,   2.09,   0.79,   1.89,  -0.08,   2.22
198709,  -2.10,  -1.32,  -0.98,  -2.11,  -1.82
198710, -29.42, -26.24, -30.95, -32.76, -24.89
198711,  -6.75,  -4.28,  -7.53,  -6.41,  -4.16
198712,   3.07,   2.99,   6.41,   1.38,   1.37
198801,   7.26,   7.75,   6.96,  12.46,   8.31
198802,   8.92,   6.06,   7.17,   7.58,   4.83
198803,   4.32,   4.33,   3.53,   6.14,   2.17
198804,   1.81,   2.33,   1.86,   1.39,   0.06
198805,  -1.09,  -0.78,  -3.40,  -2.28,  -1.59
198806,   4.95,   4.59,   6.57,   4.75,   4.58
198807,   0.31,  -0.03,  -1.13,  -0.10,   0.51
198808,  -2.01,  -2.46,  -3.52,  -1.61,  -1.74
198809,   3.49,   1.49,   2.11,   2.11,   1.42
198810,  -0.65,  -1.08,  -2.66,  -3.96,  -0.91
198811,  -4.38,  -3.07,  -4.93,  -6.71,  -3.43
198812,   2.04,   2.70,   3.91,   2.85,   0.70
198901,   5.60,   6.13,   7.73,   6.33,   6.06
198902,   0.62,   0.55,  -1.01,  -1.03,   1.16
198903,   2.64,   2.30,   1.31,   2.10,   0.84
198904,   3.85,   3.62,   3.75,   4.55,   2.23
198905,   3.40,   2.70,   3.08,   5.26,   2.29
198906,  -1.79,  -1.10,  -1.87,  -5.13,   0.02
198907,   3.71,   3.38,   0.97,   4.58,   2.95
198908,   1.34,   2.30,   1.81,   1.87,   2.41
198909,  -0.82,   0.44,   0.48,   2.84,   0.14
198910,  -6.78,  -4.56,  -4.36,  -4.63,  -5.33
198911,  -1.76,   0.24,  -2.34,   0.71,  -1.29
198912,  -0.97,   1.01,  -1.26,  -1.92,  -3.90
199001,  -5.63,  -4.31,  -5.64,  -5.47,  -5.21
199002,   1.82,   2.96,   3.25,   1.57,   0.92
199003,   3.56,   3.82,   3.90,   4.47,  -0.18
199004,  -2.43,  -2.65,  -2.08,  -0.86,  -3.48
199005,   4.34,   4.80,   7.73,   8.16,   2.24
199006,   0.58,  -0.10,   1.12,   4.67,  -0.79
199007,  -4.38,  -0.54,  -5.32,  -0.50,  -3.68
199008, -13.72,  -8.21, -14.59, -10.35, -11.42
199009, -10.01,  -4.77,  -9.51,  -8.27,  -8.84
199010,  -6.73,  -5.71,  -4.90,  -4.05,  -7.27
199011,   4.11,   2.69,   4.39,   6.78,   3.57
199012,  -0.28,  -0.84,  -0.20,   3.50,  -0.76
199101,   9.62,   5.33,  14.77,  13.57,   7.31
199102,  12.52,  10.40,  13.95,  21.35,  15.05
199103,   8.69,   4.40,  11.18,  15.84,   7.21
199104,   2.35,   1.83,   5.73,   4.23,   3.02
199105,   4.40,   2.86,   1.07,   6.14,   2.69
199106,  -2.31,  -3.47,  -5.83,  -4.34,  -2.98
199107,   2.29,   4.14,   3.53,   7.79,   2.96
199108,   3.08,   2.37,   3.98,   6.28,   2.55
199109,   0.60,   0.01,   1.91,   7.54,  -0.77
199110,   1.15,   2.09,   3.43,  10.53,   1.33
199111,  -2.96,  -1.89,  -3.89,  -0.44,  -2.62
199112,   3.64,   2.01,   3.64,  10.89,   3.66
199201,  13.35,   9.66,  19.47,  24.79,  18.40
199202,   7.01,   4.08,   7.60,  -1.07,   6.94
199203,  -0.16,  -0.29,  -1.92,  -7.11,  -0.18
199204,  -4.37,  -1.61,  -5.07, -11.47,  -1.09
199205,  -1.19,   1.39,  -1.35,  -1.29,   2.28
199206,  -4.44,  -3.80,  -6.76,  -6.17,  -2.18
199207,   2.19,   2.57,   1.54,   3.69,   3.70
199208,  -2.03,  -2.32,  -4.30,  -3.92,  -2.23
199209,   1.59,   1.96,   1.86,  -1.50,   1.50
