,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other
195103,-2.77,1.18,-3.04,-2.38,-0.91,-1.1,-2.1,1.7,-1.41,-2.84
195104,0.95,3.42,6.85,10.81,3.17,0.85,0.39,10.41,0.21,3.75
195105,-1.27,-5.32,-2.14,-3.01,-2.77,-0.41,-1.32,1.57,-0.05,-3.27
195106,-3.58,-6.83,-3.8,1.09,-1.6,-0.18,-2.71,0.83,-0.39,-5.12
195107,3.13,3.1,8.44,11.37,5.67,2.8,2.83,14.46,5.31,7.4
195108,3.51,7,4.87,5.74,5.92,2.64,2.64,-1.43,2.13,3.45
195109,-0.41,2.66,0.22,-0.76,3.34,-0.04,3.4,-1.82,1.32,3.57
195110,-3.12,-2.03,-4.14,1.17,-6.35,-1.08,-3.11,-5.97,0.71,-3.63
195111,-0.06,2.01,0.43,-0.79,2.53,0.49,1.51,-0.48,1.65,2.09
195112,1.91,2.49,4.56,4.72,4.91,0.87,-0.27,5.14,3.26,2.13
195201,0.52,-1.17,-0.3,6.6,-1.65,0.18,-0.45,0.65,3.09,3.32
195202,-2.01,0.46,-3.84,-3.39,-3.3,-0.63,-3.76,-4.25,0.7,-1.57
195203,1.71,8.33,2.98,8.72,5.21,1.26,2.54,0.45,2.23,5.84
195204,-3.32,-3,-6.62,-7.65,-3.36,-0.75,-1.85,-5.5,-1.8,-3.4
195205,2.14,4.01,4.28,3.51,2.93,1.03,2.58,2.52,2.98,2.94
195206,2.87,5.24,4.32,5.45,5.87,2.06,3,-0.96,1.09,4.02
195207,0.58,2.53,2.22,-1.02,1.42,0.25,1.94,-4.38,2.03,1.13
195208,0.96,2.04,-1.66,-2.66,-0.22,0.89,-0.3,-0.57,1.81,-0.14
195209,-2.83,-0.78,-2.1,-4.3,1.04,-0.34,-0.77,-4.09,0.32,-1.37
195210,-0.88,1.2,-1.55,0.38,-1.06,0.92,-1.09,-1.49,0.34,-1.57
195211,6.02,6.52,8.7,2.07,9.16,4.07,4.54,7.22,5.08,7.27
195212,1.43,7.01,2.67,4.55,3.06,0.88,1.29,-1.95,2.01,3.74
195301,2.16,-0.36,0.66,-2.99,-2.31,1.03,0.83,-5.11,0.92,1.08
195302,1.74,-1.17,-0.98,0.33,0.51,-0.43,-0.15,2.06,0.51,-0.22
195303,-1.74,-4.38,-1.63,-0.55,-0.74,-0.43,-0.48,-0.17,0.15,-1.44
195304,-0.13,-1.97,-2.68,-5.18,-0.37,-1.04,-0.8,-5.34,-2.94,-3.2
195305,0.24,-0.02,0.23,1.84,1.15,0.37,1.52,-0.04,-0.14,1.44
195306,-0.84,-3.33,-2.32,-0.08,-2.01,0.5,-2.19,-3.31,-2.98,-2.06
195307,2.72,0.72,2.6,3.93,2.31,0.94,1.97,3.66,3.43,1.43
195308,-3.5,-6.36,-4.86,-6.36,-4.4,-0.84,-2.34,0.05,-0.35,-6.8
195309,0.26,-0.82,1.16,-1.92,3.35,1.77,0.1,0.42,1.65,-0.98
195310,0.69,7.74,6.01,5.64,7.24,1.39,0.86,2.66,4.45,3.69
195311,0.35,0.49,4.15,1.99,5.02,2.26,3.34,7.98,3,2.78
195312,-0.62,-1.21,0.63,0.44,0.69,0.53,1.25,-1.34,0.7,-2.31
195401,4.17,5.28,4.51,8.64,6.85,1.89,3.31,5.65,3.3,6.66
195402,-0.3,1.71,0.96,2.8,5.01,2.58,0.44,-0.19,1.58,1.54
195403,1.37,3.51,4.85,4.28,8.84,1.72,0.37,0.28,2.94,1.79
195404,0.98,4.09,5.73,6.15,9.08,1.96,1.53,1.2,1.26,2.87
195405,2.38,4.48,4.47,2.97,-0.41,1.23,2.85,1.61,2.64,4.4
195406,0.57,1.19,3.6,-5.86,9.71,0.54,2.49,-2.43,1.29,1.49
195407,6.39,9.84,5.21,4.23,-0.5,4.36,4.21,8.21,5.42,6.83
195408,-2.7,-3.36,-3.76,0.52,-4.67,-1.43,-0.22,-2.56,-1.73,-2.27
195409,3.88,14.47,6.6,10.01,6.43,2.49,4.84,2.82,2.01,4.32
195410,-2.22,-0.77,-1.11,-1.98,-1.97,-0.85,-2.53,-1.62,-3.81,0.58
195411,6.09,4.46,13.68,8.04,13.2,3.43,8.4,12.56,5.67,11.16
195412,4.35,7.26,6.53,6.47,3.06,1.58,2.26,6.12,3.57,9.38
195501,0.3,0.54,-0.11,0.41,3.49,0.8,1.74,-2.88,1.45,0.88
195502,1.53,-1.03,4.17,2.42,4.42,3.99,1.31,2.85,3.65,3.77
195503,-0.84,0.05,0.36,-0.23,-1.1,-0.19,-1.4,6.09,-0.73,0.94
195504,4.07,5.67,4.34,0.58,5.37,1.97,1.83,0.02,2.56,3.45
195505,-0.27,-1.11,3,-0.62,0.07,1.29,3.02,3.15,-0.14,1.64
195506,2.49,10.09,9.59,11.2,2.73,0.69,4.43,0.17,1.68,2.37
195507,2.06,19.6,-1.17,2.76,-2.74,2.61,2.04,0.13,3.68,-1.43
195508,-0.67,-4.27,3.03,-1.1,0.86,-2.44,1.62,0.15,0.05,0.58
195509,-1.58,9.24,-0.75,-0.38,-4.22,1.07,3.42,-3.17,-2.63,-2.71
195510,-0.83,-4.98,-3.05,-0.99,-5.17,-1.15,-2.51,0.82,-0.97,-2.61
195511,3.5,9.24,8,8.58,10.12,1.63,6.01,6.29,3.4,8.3
195512,1.2,-4.06,2.89,3.7,4.85,0.86,-0.76,6.23,-0.12,-0.64
195601,-1.53,-6.74,-4.57,0.54,-5.21,1.87,-4.41,-6.5,-0.34,-2.76
195602,1.1,5.6,4.88,4.27,6.27,0.16,2.81,8.27,1.94,3.37
195603,1.76,3.74,7.72,11.44,10.48,1.43,0.43,7.26,3.78,5.71
195604,0.86,-5.14,1.02,3.62,0.09,-0.88,-1.82,2.76,-2.17,0.89
195605,-3.25,-4.46,-6.17,-6.37,-5.28,-1.06,-4.55,-1.23,-0.72,-5.41
195606,0.66,7.02,4.62,2.74,7.12,1.28,2.2,3.6,2.36,1.56
195607,1.99,4.35,6.06,6,5.28,2.65,4.57,3.09,5.24,2.41
195608,-1.38,0.81,-3.01,-5.27,-3.55,-1.39,-2.61,-3.07,-2.48,-3.59
195609,-3.23,-1.21,-6.06,-5.81,-6.85,-2.84,-4.4,-3.68,-3.86,-4.4
195610,0.41,-1.01,1.07,0.54,3.25,-1.4,1.33,0.58,1.14,1.11
195611,-0.42,-3.44,-0.77,5.31,0.69,1.53,-2.13,-1.3,0.42,0.22
195612,1.26,1.04,4.86,4.14,4.44,2.56,-0.42,6.06,1.83,2.02
195701,1.78,-6.21,-5.88,-4.12,-5.64,2.9,-1.25,-2.27,2.63,-0.54
195702,-1.41,-1.85,-2.74,-2.27,-0.65,0.33,-0.93,-0.35,-0.29,-2.56
195703,1.58,0.54,2.03,3.17,4.77,1.51,2,8.22,1.7,2.31
195704,1.39,7.95,3.7,6.94,8.39,0.44,0.19,5.43,3.18,3.16
195705,1.39,1.05,3.16,7.61,5.79,1.04,2.55,4.79,2.25,1.36
195706,-0.64,0.08,0.34,-1.74,5.26,-2.09,-1.91,6.46,-5.1,-1.11
195707,0.92,3.64,0.45,1,1.07,-0.24,2.89,2.6,0.04,1.13
195708,-1.99,-3.09,-6.23,-5.74,-7.04,-0.12,-2.7,-2.98,-2.58,-5.45
195709,-1.14,-7.09,-6.87,-7.97,-6.36,-2.22,0.42,-3.04,-1.73,-6.67
195710,-2.12,-3.94,-4.72,-5.76,-1.77,-2.1,-3.93,-0.68,-0.69,-6.88
195711,3.36,-5.26,3.35,2.41,6.46,1.49,1.74,8.58,4.38,0.33
195712,0.45,-7.89,-4.6,-6.98,-3.24,1.26,-1.71,-0.48,2.56,-4.39
195801,7.46,4.96,5.39,1.59,4.03,4.26,7.49,-0.41,6.25,11.04
195802,2.04,-1.44,-2.02,-4.6,-1.63,0.66,1.41,4.95,1.27,-1.79
195803,4.19,2.95,1.57,7.92,2.62,1.17,4.08,8.17,1.97,2.51
195804,3.54,4.96,1.44,5.14,-0.12,2.7,2.99,6.55,5.08,4.52
195805,2.72,4.79,3.45,0.35,1.5,2.11,3.62,1.44,1.4,3.74
195806,2.65,2.62,2.37,4.95,3.63,1.66,2.14,3.55,2.2,2.87
195807,1.63,9.98,8.48,0.69,3.74,0.9,1.87,5.97,1.12,5.28
195808,2.93,0.02,2.42,1.92,2.08,2.41,5.7,1.98,-1.01,3.01
195809,4.26,10.04,4.54,3.28,6.2,5.04,4.02,11.72,3.47,4.42
195810,2.5,2.28,3.05,1.33,4.49,1.46,1.22,1.05,4.28,3.75
195811,4.09,1.75,2.92,1.92,4.35,2.14,5.89,8.03,2.96,4.63
195812,2.67,2.75,5.21,1.25,13.11,13.28,5.72,4.61,5.94,3.08
195901,3.81,-1.08,0.79,0.51,-2.22,3.91,3.49,-0.62,1.24,2.09
195902,3,-1.94,3.62,-7.39,5.17,4.85,2.66,3.86,1.25,1.75
195903,0.3,-1.19,-0.24,2.14,2.33,-0.43,-1.66,4.25,1.63,-0.71
195904,3.01,9.38,4.17,1.72,8.44,4.63,1.54,11.92,-1.13,1.96
195905,1.33,5.18,4.04,-0.95,4.84,-1.04,2.72,-1.07,-1.1,0.63
195906,1.67,0.16,1.28,-2.72,-0.99,-1.04,2.26,6.59,-2.23,1.42
195907,3.7,8.43,3.73,4.96,0.45,0.6,2.12,4.73,3.83,0.25
195908,-0.39,2.42,-1.89,-3.13,-2.5,0.61,0.78,-3.57,1.34,-2.21
195909,-3.22,-4.45,-4.96,-6.9,-4.19,-0.96,-2.12,-4.96,-4.35,-4.14
195910,3.79,-1.26,1.42,1.17,4.98,1.3,0.87,2.34,0.89,0.3
195911,1.25,-0.1,2.19,-0.41,9.21,-1.23,2.35,5.62,0.4,-0.5
195912,1.23,5.16,2.16,4.23,3.41,4.31,2.68,-1.67,2.14,2.11
196001,-3.36,-11.17,-8.41,-7.49,-9.8,0.95,-5.65,-6.38,-2.07,-4.52
196002,2.93,-2.2,0.49,-3.43,5.35,8.36,4.21,0.31,2.77,-0.02
196003,-1.41,-4.38,-3.55,-0.8,1.63,0.14,0.1,1.61,1.75,-2.27
196004,1.53,-1.57,-3.53,-4.26,0.52,-1.05,-0.23,1.65,1.38,-1.13
196005,6.51,-0.68,3.86,-3.46,9.55,3.32,3.14,13.72,1.49,0.24
196006,4.33,0.81,1.68,3.52,1.46,-0.34,3.84,-0.16,5.77,2.86
196007,-0.95,-0.6,-4.15,0.7,-4.2,0.1,-3.01,-3.86,-1.07,-1.47
196008,4.51,3.48,1.7,4.1,1.16,7.11,3.13,2.46,4.4,3.11
196009,-3.43,-5.68,-7.03,-1,-8.72,-5.91,-8.39,-8.71,-4.48,-5.73
196010,1.67,-1.34,-0.97,2.43,-3.25,0.14,0.23,-3.49,-0.33,-0.81
196011,8.66,-0.66,4.85,3.4,7.01,4.19,6.92,4.04,3.73,6.69
196012,4.48,-0.41,3.94,5.3,3.03,12.45,2.26,6.22,6.35,4.22
196101,5.41,8.36,6.63,9.76,2.87,7.89,2.94,6.05,4.95,7.79
196102,6.61,3.98,5.05,0.73,2.71,0.75,4.96,5.2,3.63,5.69
196103,4.85,3.43,1.61,1.42,2.77,7.43,5.86,3.8,2.02,3.53
196104,-1.36,-1.71,-1.34,4.76,0.48,0.8,0.59,-0.3,1.85,0.56
196105,3.68,1.3,4.58,0.15,2.86,-1.04,4.08,2.28,2.39,4.18
196106,-1.39,-1.53,-2.97,-4.02,-3.35,-3.99,0.54,-3.38,-1.87,-3.79
196107,2.85,6.15,2.48,2.28,1.79,6.43,2.45,3.5,2.88,1.27
196108,5.11,1.37,2.45,0.19,4.49,0.21,3.25,3.86,3.81,5.23
196109,0.05,4.68,-4.46,-6.42,0.21,-2.72,0.39,-1.23,1.42,-1.83
196110,3.35,0.54,-0.22,6.62,3.37,0.2,9.05,3.66,5.31,2.32
196111,5.49,9.67,2.94,5.53,2.93,8.52,5.13,3.14,3.42,3.82
196112,-3.18,2.87,0.17,3.81,-0.69,3.32,-0.36,-1.99,-4.2,-1.85
196201,-6.16,-0.17,-3.55,0.08,-4.96,-6.07,-8.62,-4.78,-2.59,-1.44
196202,0.25,-1.46,1.41,5.35,-0.02,4.11,1.64,3.75,2.63,1.72
196203,-1.1,0.41,-0.45,-1.65,0.21,-2.94,0.91,0.41,1.96,-1.77
196204,-6.77,-5.17,-7.95,-3.62,-11.05,-4.68,-4.42,-11.33,-2.78,-7.08
196205,-11.28,-4.43,-8.21,-4.96,-11.17,-7.13,-9.09,-10.78,-10.47,-7.85
196206,-8.81,-6.07,-9.54,-4.85,-11.57,-8.52,-10.25,-12.89,-5.09,-9.15
196207,5.23,8.03,5.25,4.9,11.3,7.23,4.37,7.78,7.45,5.74
196208,0.9,3.83,2.36,1.83,3.38,1.58,4.3,-7.92,3.17,3.87
196209,-5.61,-2.2,-5.8,-1.77,-8.86,-6.05,-6.62,-4.05,-2.83,-5.76
196210,-3.28,2.46,1.49,-0.29,-0.14,2.77,-1.35,2.47,-1.08,0.57
196211,12.09,6.73,13.21,10.71,14.56,7.16,11.15,17.59,7.59,14.77
196212,1.45,3.54,-1.07,4.69,-0.17,1.08,0.04,0.88,3.45,1.4
196301,5.94,7.6,5.78,2.68,5.64,4.13,4.13,5.66,5.26,5.24
196302,-3.03,-2.89,-2.55,-1.31,-5.06,-1.09,-0.68,-2.58,-1.47,-0.42
196303,2.56,7.09,2.88,6.98,2.75,1.94,2.01,1.18,1.8,2.95
196304,2.39,5.65,4.69,6.05,6.42,3.73,5.45,7.62,2.4,5.94
196305,1.89,8.03,2.09,-0.11,4.19,-0.64,2.62,-0.25,1.03,3.58
196306,-1.38,-3.24,-2.56,1.21,-4.92,-1.94,-1.39,-1.09,-1.12,-1.4
196307,-0.48,-0.07,-1.39,2.3,-0.68,-0.25,-1.05,0.57,0.81,-1.59
196308,4.87,6.54,6.19,3.94,5.13,4.28,6.42,9.56,4.2,5.44
196309,-1.69,-0.25,-0.78,-3.65,0.14,2.36,0.93,-4.07,-2.5,-3.18
196310,2.66,10.71,2.54,-0.33,8.3,3.43,0.51,3.38,-0.67,1.39
196311,-1.12,-5.17,0.3,-1.15,-0.29,4.14,-1.25,-1.65,-1.02,0.1
196312,2.81,0.6,1.89,4.66,3.04,-0.09,0.33,1.53,2.41,2.66
196401,0.8,1.22,2.71,4.85,2.93,3.32,2.52,3.7,1.4,1.17
196402,1.86,1.64,2.73,1.08,1.96,-0.28,1.63,1.65,0.87,5.38
196403,3.08,1.08,3.7,1.4,3.38,-0.9,2.43,-1.94,-0.74,2.34
196404,-0.47,1.8,-1.72,4.04,-3.63,0.83,2.88,-1.42,1.05,0.29
196405,1.56,1.52,1.77,2.15,2.74,-0.39,3.91,0.52,0.84,2.38
196406,1.6,0.77,0.88,0.67,0.51,4.69,3.84,0.58,2.21,1.31
196407,1.76,5.64,1.34,3.33,-1.81,-2.01,1.21,4.76,4.91,1.23
196408,-0.26,1.4,-1.26,-1.86,-2.76,-1.56,0.34,-4.22,-0.02,-3.11
196409,1.69,4.64,4.78,3.08,1.15,-1.03,3.48,2.74,1.88,3.99
196410,-0.19,0.08,0.42,3.07,-0.99,-0.89,2.31,2.86,0.96,1.75
196411,0.71,-1.09,-0.58,2.54,-0.23,-2.22,3.24,2.17,1.37,-1.65
196412,0.23,1.89,-0.71,-0.24,-0.01,3.12,0.16,4.38,0.49,-1.78
196501,6.06,3.81,5.39,0.51,7.46,0.25,3.06,7.66,3.96,4.72
196502,1.61,-0.51,2.55,-3.36,2.2,0.81,1.39,2.42,0.44,2.61
196503,-0.79,1.28,-1.14,-3.02,-0.47,-1.68,-0.82,-0.92,-0.52,-0.37
196504,4.2,6.78,4.05,0.86,5.14,2.33,6.81,2.97,0.66,2.3
196505,-0.79,-3.26,-0.54,0.87,0.47,2.76,0.19,-1.25,-0.97,-1.49
196506,-5.13,-6.8,-6.24,-1.98,-5.72,-4.17,-6.21,-5.31,-3.66,-6.99
196507,1.58,2.29,2.07,1.8,3.59,-0.37,-1.4,3.95,1.06,3.34
196508,4.05,3.42,3.51,1.55,5.87,1.33,2.3,6.29,0.92,5.11
196509,0.48,7.11,3.84,4.37,5.25,1.1,-0.69,2.24,1.39,1.76
196510,2.59,6.14,4.37,1.84,5.2,-2.27,0.31,3.23,1.05,4.13
196511,1.09,-3.78,1.39,0.71,2.74,-4.31,1.35,3.79,-1,4.08
196512,1.27,1.47,3.23,0.18,-1.52,-0.84,1.32,3.84,-0.31,3.29
196601,1.92,0.61,2.93,1.04,1.34,-1.3,-4.35,2.74,-3.03,5.21
196602,-0.48,-1.48,-0.75,-3.44,5.01,0.48,-1.84,-1.55,-4.17,2.07
196603,-2.65,-2.97,-1.76,-2.23,-0.9,-4.84,-2.08,-1.6,-0.14,-2.57
196604,0.38,0.16,2.85,3.14,7.62,1.27,3.07,-0.01,1.19,3.03
196605,-4.91,-8.37,-5.67,-3.76,-6.07,-2.99,-2.94,-5.27,-2.73,-7.79
196606,-1.8,-1.97,-0.96,-2.28,-0.13,0.48,-2.38,0.99,-1.78,0.65
196607,-1.18,-2.58,-1.6,0.4,-1.71,-1.16,-1.97,-1.71,-0.18,-1.94
196608,-7.17,-7.57,-7.85,-6.36,-5.92,-4.6,-6.39,-8.09,-8.59,-11.86
196609,-1.48,-0.97,-3.59,3.94,-1.92,-0.56,-2.01,-1.15,4.36,-1.91
196610,4.52,0.38,2.52,8.46,0.27,9.18,-1.36,4.87,9.94,3.02
196611,2.31,-3.4,2.79,-1.14,10.87,-2.83,0.7,6.9,-1.36,7.99
196612,0.22,-2.63,1.37,-0.66,0.46,2.96,-4.18,-0.18,2.1,2.15
196701,9.42,11.8,11.19,3.58,10.23,6.24,11.78,6.45,2.84,11.99
196702,2.03,-1.08,1.22,-0.07,6.15,2.13,3.25,1.4,-1.72,-0.32
196703,4.45,3.85,5.8,3.61,5.49,2.97,2.34,7.86,1.53,4.42
196704,4.6,11.06,3.75,1.67,7.86,0.19,9.24,4.46,1.88,2.15
196705,-2.61,-7.28,-3.67,-2.42,-4.39,-5.67,-4.63,-5.28,-4.11,-2.08
196706,2.67,1.55,2.11,2.27,6.39,2.73,3.84,5.41,-1.31,3.48
196707,6.07,11.1,5.03,6.92,3.99,-6.58,6,3.79,2.33,7.89
196708,-0.84,0.18,-0.39,-1.45,-1.01,-1.24,0.51,0.65,-0.65,-0.28
196709,3.1,4.97,3.12,4.24,8.38,1.23,2.29,2.9,-0.09,1.3
196710,-2.64,-4.9,-4.52,-0.97,4.89,-3.51,0.68,-5.02,-5.36,-5.13
196711,0.56,-0.95,0.65,0.76,1.43,0.08,0.85,1.33,3.18,-0.43
196712,3.21,0.89,5.22,3.07,2.13,0.13,3.43,1.62,3.28,5.54
196801,-0.6,-5.21,-6.4,-0.9,-8.73,2.67,1.13,-6.58,0.2,-1.89
196802,-2.66,-2.32,-4.28,-2.66,-4.59,-2.41,-0.84,-4.24,-1.48,-3.48
196803,0.75,0.65,0.87,0.75,4.24,-1.12,2.84,0.11,-3.93,-0.28
196804,11.1,11.69,10.64,5.68,12.44,2.21,12.22,11.89,2.49,11.98
196805,5.02,-0.33,3.18,1.25,3.83,-0.72,3.51,3.35,0.44,6.23
196806,1.19,-1.4,-0.2,1.84,-2.01,4.17,0.45,2.23,8.44,3.03
196807,-3.91,-2.95,-4.02,5.28,-5.57,-0.2,-5.18,-4.12,0.18,-2.8
196808,2.78,1.24,3.34,1.29,0.54,1.28,2.25,0.68,-0.87,2.86
196809,4.87,6.66,4.55,3.55,2.94,2.97,7.85,0.84,0.25,9.31
196810,0.83,4.65,0.94,2.58,-4.91,3.17,0.73,-0.04,0.49,1.08
196811,4.63,-0.09,5.8,5.66,8.61,5.4,5.09,8.11,8.8,7.69
196812,-1.02,-4.46,-3.35,-2.53,-5.34,-6.66,-4.12,-1.02,-2.91,-3.7
196901,-1.19,-1.77,-0.49,-1.14,-4.68,1.17,-0.99,-0.23,2.43,0.75
196902,-6.59,-3.47,-5.71,-4.6,-3.61,-3.33,-4.13,-5.16,-5.21,-8.35
196903,0.71,5.11,2.6,7.12,5.45,-0.42,5.06,3.34,-1.29,0.74
196904,1.06,1.22,1.33,-0.36,3.96,7.73,3.77,4.98,1.33,1.77
196905,1.21,0.14,-0.86,3.76,-1.71,1.08,0.55,1.68,0.03,-1.23
196906,-7.31,-5.99,-6.93,-9.89,-0.15,-4,-5.49,-5.04,-5.73,-10.68
196907,-6.85,-6.98,-5.43,-9.64,-5.4,-4.5,-8.44,-2.73,-2.97,-9.1
196908,4.95,2.74,4.18,6.59,7.01,1.66,8.13,9.3,-1.29,9.03
196909,0.32,-0.06,-2.07,-9.63,0.2,-4,-0.67,2.09,-4.14,-0.71
196910,8.31,3.86,6.68,-1.03,5.79,3.5,6.72,8.98,8.28,7.99
196911,-2.36,-4.43,-3.41,-4.53,-1.78,1.18,-4.16,0.32,-5.27,-5.54
196912,-1.94,-3.44,-1.43,-3.01,-0.73,-5.51,-3.01,4.3,-0.64,-3.75
197001,-4.24,-8.25,-7.3,-11.45,-9.06,-2.57,-5.88,-7.12,-4.23,-8.83
197002,4.68,5.57,5.14,5.38,2.94,7.96,5.23,5.6,8.36,9.5
197003,-0.78,4.87,-0.29,-0.45,-2.58,2.29,-1.69,-5.08,2.91,-1.9
197004,-10.12,-8.86,-8.97,-9.17,-14.34,-8.79,-11.08,-10.11,-8.05,-13.68
197005,-7.45,-6.45,-7.51,2.61,-9.55,-3.75,-9.45,-7.78,-5.36,-8.25
197006,-1.47,-4.15,-4.81,-2.47,-11.77,-8.48,-4.02,-0.51,-4.7,-6.83
197007,6.68,10.6,5.11,12.76,2.35,10.26,10.38,2.16,8.7,8.04
197008,1.45,8.22,4.62,6.54,8,2.51,5.34,1.8,4.67,5.12
197009,5.51,2.68,3.97,3.19,10.17,-0.95,7.94,8.03,-0.52,7.61
197010,0.7,-2,-3.15,2.96,-3.5,-3.75,-1.68,0.26,-0.82,-5.89
197011,4.84,6.96,3.91,4.93,4.05,6.12,6.87,2.96,9.39,3.87
197012,7.43,6.16,8.01,2.26,4.4,6.85,5.4,5.37,7.17,8.36
197101,4.86,3.87,5.85,0.34,5.39,9.77,8.3,4.94,2.93,7.81
197102,3.77,2.24,1.25,4.79,2.8,-5.3,3.64,1.39,-2.59,2.36
197103,4.44,3.43,4.09,2.76,8.06,0.71,6.83,3.68,2.41,5.97
197104,2.17,8.49,4.26,4.31,2.32,0.82,4.96,4.23,-3.54,4.36
197105,-3.02,-4.26,-2.25,-4.74,-6.14,-5.21,-1.78,-2.1,-3.7,-4.42
197106,-0.13,-0.66,0.39,1.03,-2.18,1.04,0.35,2.02,4.3,-1.22
197107,-2.13,-5.55,-4.88,-2.13,-8.58,-3.61,-3.5,-2.25,-2.13,-3.85
197108,3.1,10.56,6.36,-1.2,5.69,-0.32,6.19,3.27,-2.32,7.02
197109,-0.07,-0.07,-0.32,-1.64,-1.55,0.23,0.73,0.66,-1.5,-0.42
197110,-4.32,-5.2,-6.03,-4.28,-4.35,-1.74,-3.44,-2.5,2.05,-4.2
197111,-0.35,0.33,-0.99,0.06,1.77,0.38,0.24,0.58,-1.21,-0.23
197112,10.53,6.13,9.86,8.84,11.27,7.36,10.16,7.9,8.1,8.19
197201,2.5,3.23,3.22,0.16,8.35,0.94,0.44,2.6,-0.3,3.33
197202,4.64,0.84,4.98,2.61,1.89,0.16,5.65,7.13,-2.5,2.25
197203,0.09,4.23,2.49,-5.46,1.09,-0.32,1.98,0.46,-0.15,2.34
197204,1.92,-0.53,1.97,-0.69,0.76,-1.05,-0.56,1.08,-2.81,1.82
197205,0.41,-1,1.9,3.65,3.73,1.19,1.58,3.52,-0.17,-0.63
197206,-1.14,-2.88,-2.25,-0.91,-2.53,-2.74,-4.03,2.51,-1.55,-4.53
197207,-1.58,-2.13,0.49,-1.07,0.97,0.75,-2.46,3.13,0.04,-2.93
197208,-0.11,3.78,2.29,12.38,2.84,5.16,-0.41,1.05,5.96,3.61
197209,-2.62,-0.89,-1.22,-0.24,-1.15,4.31,-0.5,-0.44,0.19,-1.72
197210,0,-2.44,1.15,3.1,-3.34,2.3,0.88,1.51,6.75,1.14
197211,6.88,7.93,4.18,6.19,2.52,7.1,6.02,-0.56,6.4,5.14
197212,0.53,1.64,0.93,1.05,1.98,1.45,1.73,3.74,-1.54,-0.72
197301,-4.75,-6.7,-3.7,5.03,1.96,-2.12,-4.09,-1.19,-4.28,-7.44
197302,-4.36,-5.85,-2.29,-7.35,-3,-4.62,-6.45,-0.71,-1.97,-6.06
197303,-1.06,-2.82,-0.22,3.05,-1.2,0.54,-5.64,0.78,-2.15,-0.26
197304,-6.19,-5.19,-4.4,-0.98,-6.65,0.88,-8.5,-5.49,-0.6,-7.75
197305,-2.12,-4.19,-1.14,-3.53,-2.6,-0.82,-2.21,1.07,0.36,-4.98
197306,-3.43,-2.53,-0.35,1.63,-0.05,-0.32,-5.75,0,-2.49,-0.25
197307,7.44,7.27,6.64,0.3,4.95,-0.32,11.16,6.87,-2.39,9.56
197308,-3.33,-3.95,-1.47,-3.79,-3.69,-3.91,-4.16,-6.89,-2.1,-2.3
197309,5.9,7.81,4.56,9.21,-2.84,7.65,7.2,0.78,7.9,7.23
197310,-2.25,-4.34,0.44,5.17,3.91,-5.54,-3.66,1.83,-3.39,-1.02
197311,-14.31,-16.1,-14.25,-6.19,-11.43,-1.9,-18.92,-7.75,-11.6,-13.45
197312,-1.55,-3.76,1.28,8.67,-4.32,4.55,-0.22,-4.47,3.42,2.49
197401,2.43,6.09,0.41,-7.46,1.24,2,6.71,-2.56,4.55,1.14
197402,0.07,-1.08,0.01,-1.55,-0.6,4.75,0.8,-1.23,0.29,1.02
197403,-1.89,-0.09,-0.76,-3.24,-2.71,-4.59,-3.12,1.22,-3.64,-3.63
197404,-3.69,-4.09,-2.04,-6.31,-3.63,-5.31,-1.97,-1.48,-12.19,-6.37
197405,-2.88,0.42,-2.53,-7.47,-4.2,-1.52,1.21,-0.11,-4.9,-8.44
197406,-0.56,-2.63,-0.41,-0.3,-2.94,0.3,-2.72,-1.61,-6.18,-5.5
197407,-10.15,-11.86,-7.16,-0.52,-8.22,-7.63,-12.81,-14.15,0.77,-6.61
197408,-10.16,-6.62,-10.13,-8.56,-4.9,-0.01,-13.05,-8.04,-8.62,-10.62
197409,-12.18,-12.92,-12.85,-7.95,-16.9,-3.8,-12.28,-15.56,-1.31,-9.62
197410,15.66,4.48,16.04,20.78,14.72,10.85,10.01,29.58,13.01,20.19
197411,-3.85,-4.69,-5.92,-4.24,-4.94,-3.09,-5.74,-1.22,-0.13,-2.77
197412,-0.56,-4.08,-4.45,0.83,-5.25,1.57,-3.36,-3.32,-0.81,-4.35
197501,18.71,21.5,14.51,6.77,15.3,11.09,25.92,-0.74,18.8,17.89
197502,4.04,4.93,8,2.26,13.14,5.16,5.16,16.04,0.9,2.87
197503,7.14,6.62,5.06,-2.32,0.99,-0.86,10.76,1.29,-1.32,4.15
197504,3.01,4.12,9.56,7.25,5.57,-0.96,2.59,0.65,-1.61,3.27
197505,5.22,2.57,2.78,12.35,5.92,3.52,4,6.52,8.52,5.72
197506,5.25,10.23,3.56,6.25,2.29,4.04,7.45,0.95,10.71,5.95
197507,-5.38,-2.03,-5.91,-4.24,-9.42,-4.21,-7.46,-12.03,-4.78,-6.14
197508,-3.14,-3.47,-0.8,-0.89,-2.97,-3.56,-0.39,-3.32,-1.24,-5.14
197509,-2.44,-2.46,-5.8,-1.16,-0.85,-1.26,-3.49,-6.53,-0.99,-6.31
197510,10.59,8.82,5.67,-1.33,8.4,6.82,9.92,10.68,6.58,3.91
197511,4.09,3.35,3.01,-1.64,5.03,4.26,4.66,5.13,3.15,3.58
